IPORIGEN,IPDESTINO,DNS/FLAGS
192.168.100.65,202.12.27.33,ns1.amzndns.co.uk
199.7.83.42,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,156.154.103.3,ns1.amzndns.co.uk
202.12.27.33,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,156.154.101.3,ns1.amzndns.co.uk
156.154.101.3,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,205.251.195.158,ns1.amzndns.co.uk
156.154.103.3,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,205.251.195.158,ns1.amzndns.co.uk
205.251.195.158,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,156.154.67.10,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
205.251.195.158,192.168.100.65,ns1.amzndns.co.uk
192.168.100.65,156.154.67.10,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
156.154.67.10,192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
192.168.100.65,199.19.56.1,ns-1286.awsdns-32.org
156.154.67.10,192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
192.168.100.65,199.249.112.1,ns-1286.awsdns-32.org
199.19.56.1,192.168.100.65,ns-1286.awsdns-32.org
192.168.100.65,205.251.194.226,ns-1286.awsdns-32.org
199.249.112.1,192.168.100.65,ns-1286.awsdns-32.org
192.168.100.65,205.251.194.226,ns-1286.awsdns-32.org
205.251.194.226,192.168.100.65,ns-1286.awsdns-32.org
192.168.100.65,205.251.197.6,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
205.251.194.226,192.168.100.65,ns-1286.awsdns-32.org
192.168.100.65,205.251.197.6,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
205.251.197.6,192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
205.251.197.6,192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com
192.168.100.65,3.211.157.115,0x0011
3.211.157.115,192.168.100.65,0x0011
192.168.100.65,192.35.51.30,assets.nflxext.com
192.168.100.65,192.54.112.30,assets.nflxext.com
192.168.100.65,192.12.94.30,help.nflxext.com
192.168.100.65,192.42.93.30,help.nflxext.com
192.168.100.65,205.251.192.81,logs.netflix.com
192.168.100.65,205.251.192.81,logs.netflix.com
205.251.192.81,192.168.100.65,logs.netflix.com
192.168.100.65,45.57.8.1,logs.dradis.netflix.com
205.251.192.81,192.168.100.65,logs.netflix.com
192.168.100.65,45.57.8.1,logs.dradis.netflix.com
45.57.8.1,192.168.100.65,logs.dradis.netflix.com
45.57.8.1,192.168.100.65,logs.dradis.netflix.com
192.168.100.65,45.57.8.1,logs.us-east-1.internal.dradis.netflix.com
192.168.100.65,45.57.8.1,logs.us-east-1.internal.dradis.netflix.com
45.57.8.1,192.168.100.65,logs.us-east-1.internal.dradis.netflix.com
192.168.100.65,205.251.197.6,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com
45.57.8.1,192.168.100.65,logs.us-east-1.internal.dradis.netflix.com
