IP Origen,IP Destino/Dominio,Protocolo
192.168.100.65,64.233.190.100,UDP
192.168.100.65,64.233.190.100,UDP
192.168.100.65,64.233.190.100,UDP
192.168.100.65,64.233.190.100,UDP
64.233.190.100,192.168.100.65,UDP
64.233.190.100,192.168.100.65,UDP
192.168.100.65,64.233.190.100,UDP
64.233.190.100,192.168.100.65,UDP
64.233.190.100,192.168.100.65,UDP
64.233.190.100,192.168.100.65,UDP
192.168.100.65,64.233.190.100,UDP
192.168.100.65,64.233.190.100,UDP
64.233.190.100,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.100,UDP
192.168.100.65,64.233.190.100,UDP
192.168.100.65,64.233.190.100,UDP
192.168.100.65,64.233.190.100,UDP
64.233.190.100,192.168.100.65,UDP
64.233.190.100,192.168.100.65,UDP
192.168.100.65,64.233.190.100,UDP
64.233.190.100,192.168.100.65,UDP
64.233.190.100,192.168.100.65,UDP
192.168.100.65,64.233.190.100,UDP
64.233.190.100,192.168.100.65,UDP
64.233.190.100,192.168.100.65,UDP
64.233.190.100,192.168.100.65,UDP
192.168.100.65,64.233.190.100,UDP
192.168.100.65,64.233.190.100,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.100,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.100,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,172.217.192.132,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,172.217.192.132,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,172.217.192.132,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
192.168.100.65,172.217.192.132,UDP
192.168.100.65,172.217.192.132,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
192.168.100.65,172.217.192.132,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
172.217.192.132,192.168.100.65,UDP
192.168.100.65,172.217.192.132,UDP
192.168.100.65,172.217.192.132,UDP
