IP Origen,IP Destino/Dominio,Tipo
205.251.192.81,www.netflix.com,DNS
192.168.100.65,www.dradis.netflix.com,DNS
192.12.94.30,www.netflix.com,DNS
192.168.100.65,www.dradis.netflix.com,DNS
205.251.192.81,www.dradis.netflix.com,DNS
192.168.100.65,e.ns.nflxso.net,DNS
192.33.14.30,e.ns.nflxso.net,DNS
192.168.100.65,e.ns.nflxso.net,DNS
205.251.192.81,www.dradis.netflix.com,DNS
192.168.100.65,www.dradis.netflix.com,DNS
45.57.8.1,e.ns.nflxso.net,DNS
192.168.100.65,www.dradis.netflix.com,DNS
45.57.8.1,www.dradis.netflix.com,DNS
192.168.100.65,www.us-east-1.internal.dradis.netflix.com,DNS
45.57.8.1,www.us-east-1.internal.dradis.netflix.com,DNS
45.57.8.1,www.dradis.netflix.com,DNS
192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
205.251.192.27,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
192.168.100.65,ns1.amzndns.co.uk,DNS
205.251.192.27,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
192.168.100.65,ns1.amzndns.co.uk,DNS
199.7.83.42,ns1.amzndns.co.uk,DNS
192.168.100.65,ns1.amzndns.co.uk,DNS
202.12.27.33,ns1.amzndns.co.uk,DNS
192.168.100.65,ns1.amzndns.co.uk,DNS
156.154.101.3,ns1.amzndns.co.uk,DNS
192.168.100.65,ns1.amzndns.co.uk,DNS
156.154.103.3,ns1.amzndns.co.uk,DNS
192.168.100.65,ns1.amzndns.co.uk,DNS
205.251.195.158,ns1.amzndns.co.uk,DNS
192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
205.251.195.158,ns1.amzndns.co.uk,DNS
192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
156.154.67.10,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
192.168.100.65,ns-1286.awsdns-32.org,DNS
156.154.67.10,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
192.168.100.65,ns-1286.awsdns-32.org,DNS
199.19.56.1,ns-1286.awsdns-32.org,DNS
192.168.100.65,ns-1286.awsdns-32.org,DNS
199.249.112.1,ns-1286.awsdns-32.org,DNS
192.168.100.65,ns-1286.awsdns-32.org,DNS
205.251.194.226,ns-1286.awsdns-32.org,DNS
192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
205.251.194.226,ns-1286.awsdns-32.org,DNS
192.168.100.65,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
205.251.197.6,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
205.251.197.6,apiproxy-website-nlb-prod-1-5a4080be4d9bee00.elb.us-east-1.amazonaws.com,DNS
192.168.100.65,3.211.157.115,TCP FIN-ACK
3.211.157.115,192.168.100.65,TCP FIN-ACK
192.168.100.65,assets.nflxext.com,DNS
192.168.100.65,assets.nflxext.com,DNS
192.168.100.65,help.nflxext.com,DNS
192.168.100.65,help.nflxext.com,DNS
192.168.100.65,logs.netflix.com,DNS
192.168.100.65,logs.netflix.com,DNS
205.251.192.81,logs.netflix.com,DNS
192.168.100.65,logs.dradis.netflix.com,DNS
205.251.192.81,logs.netflix.com,DNS
192.168.100.65,logs.dradis.netflix.com,DNS
45.57.8.1,logs.dradis.netflix.com,DNS
45.57.8.1,logs.dradis.netflix.com,DNS
192.168.100.65,logs.us-east-1.internal.dradis.netflix.com,DNS
192.168.100.65,logs.us-east-1.internal.dradis.netflix.com,DNS
45.57.8.1,logs.us-east-1.internal.dradis.netflix.com,DNS
192.168.100.65,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com,DNS
45.57.8.1,logs.us-east-1.internal.dradis.netflix.com,DNS
192.168.100.65,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com,DNS
204.8.99.146,192.168.100.65,TCP FIN-ACK
204.8.99.146,192.168.100.65,TCP FIN-ACK
192.54.112.30,assets.nflxext.com,DNS
192.168.100.65,assets.nflxext.com,DNS
192.42.93.30,help.nflxext.com,DNS
192.168.100.65,help.nflxext.com,DNS
205.251.193.118,assets.nflxext.com,DNS
192.35.51.30,assets.nflxext.com,DNS
192.168.100.65,assets.nflxext.com,DNS
205.251.193.118,help.nflxext.com,DNS
192.168.100.65,e13252.dscg.akamaiedge.net,DNS
205.251.193.118,assets.nflxext.com,DNS
204.8.99.146,192.168.100.65,TCP FIN-ACK
95.101.36.192,e13252.dscg.akamaiedge.net,DNS
192.168.100.65,e13252.dscg.akamaiedge.net,DNS
192.12.94.30,help.nflxext.com,DNS
192.168.100.65,e13252.dscg.akamaiedge.net,DNS
23.213.29.17,e13252.dscg.akamaiedge.net,DNS
23.72.251.134,e13252.dscg.akamaiedge.net,DNS
205.251.197.6,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com,DNS
205.251.197.6,apiproxy-logging-s1-cee16861ef0ad576.elb.us-east-1.amazonaws.com,DNS
192.168.100.65,204.8.99.146,TCP FIN-ACK
192.168.100.65,204.8.99.146,TCP FIN-ACK
192.168.100.65,204.8.99.146,TCP FIN-ACK
192.168.100.65,geolocation.onetrust.com,DNS
192.168.100.65,geolocation.onetrust.com,DNS
192.42.93.30,geolocation.onetrust.com,DNS
192.168.100.65,geolocation.onetrust.com,DNS
192.26.92.30,geolocation.onetrust.com,DNS
192.168.100.65,geolocation.onetrust.com,DNS
173.245.58.221,geolocation.onetrust.com,DNS
173.245.58.221,geolocation.onetrust.com,DNS
204.8.99.146,192.168.100.65,TCP FIN-ACK
192.168.100.65,occ-0-3142-1380.1.nflxso.net,DNS
192.168.100.65,occ-0-3142-1380.1.nflxso.net,DNS
192.168.100.65,204.8.99.146,TCP FIN-ACK
204.8.99.146,192.168.100.65,TCP FIN-ACK
192.168.100.65,204.8.99.146,TCP FIN-ACK
192.168.100.65,104.18.32.137,TCP FIN-ACK
104.18.32.137,192.168.100.65,TCP FIN-ACK
45.57.8.1,occ-0-3142-1380.1.nflxso.net,DNS
45.57.8.1,occ-0-3142-1380.1.nflxso.net,DNS
204.8.99.146,192.168.100.65,TCP FIN-ACK
192.168.100.65,204.8.99.146,TCP FIN-ACK
192.168.100.65,www.kali.org,DNS
192.168.100.65,www.kali.org,DNS
199.19.57.1,www.kali.org,DNS
199.19.56.1,www.kali.org,DNS
